54238217,3662384954,0,False,tertiary,Central Road,819.322,,,,,,,,,,,178117005,
54238217,54515321,0,False,tertiary,Central Road,1640.907,,,,,,,,,,,178117005,
54245452,54441974,0,False,residential,,174.988,,,,,,,,,,,7165795,
54245452,54245457,0,False,residential,,25.614,,,,,,,,,,,263601331,
54245452,54229752,0,False,residential,,113.132,,,,,,,,,,,263601331,
54245457,54214578,0,False,residential,,59.415,,,,,,,,,,,7161663,
54245457,54245462,0,False,residential,,25.715,,,,,,,,,,,263601331,
54245457,54245452,0,False,residential,,25.614,,,,,,,,,,,263601331,
54245462,54435198,0,False,residential,,175.28,,,,,,,,,,,7161594,
54245462,54245457,0,False,residential,,25.715,,,,,,,,,,,263601331,
54245462,2692265739,0,False,residential,,234.453,,,,,,,,,,,"[263601320, 263601322]",
54247994,54247996,0,False,residential,,41.528,,,,,,,,,,,7056511,
54247994,54617209,0,False,residential,Eyota Road,97.571,,,,,,,,,,,7383209,
54247994,54493859,0,False,residential,Eyota Road,90.441,,,,,,,,,,,7383209,
54247996,54247994,0,False,residential,,41.528,,,,,,,,,,,7056511,
54249428,54536420,0,False,residential,Sioux Road,198.239,,,,,,,,,,,7226719,
54259075,59999074,0,True,motorway_link,,365.036,,,,,,,,,,,8026657,
54259075,54307598,0,False,tertiary,Outer Highway 15 South,1575.05,,,,,,,,,,,165956593,
54259075,54234170,0,False,tertiary,Stoddard Wells Road,1505.445,2,,,,,,,,,,165956596,
54260931,54260932,0,False,residential,,53.637,,,,,,,,,,,7064009,
54260931,54987043,0,False,residential,Waco Road,150.341,,,,,,,,,,,7228332,
54260931,54538707,0,False,residential,Waco Road,105.065,,,,,,,,,,,7228332,
54260932,54260931,0,False,residential,,53.637,,,,,,,,,,,7064009,
54262812,54329285,0,False,residential,Havasu Road,86.719,,,,,,,,,,,7521955,
54262812,54652402,0,False,residential,"['Sahale Lane', 'Havasu Road']",177.126,,,,,,,,,,,"[7521936, 7306071]",
54262812,54525268,0,False,residential,Havasu Road,220.789,,,,,,,,,,,7521955,
54281558,2672523081,0,False,residential,,223.399,,,,,,,,,,,7075339,
54281558,2672523121,0,False,residential,,187.717,,,,,,,,,,,7107210,
54281558,54338004,0,False,residential,,150.53,,,,,,,,,,,7107210,
54283532,5577824710,0,False,residential,Braeburn Road,197.283,,,,,,,,,,,261332381,
54283532,54526298,0,False,secondary,Bear Valley Road,517.362,,,,,,,,,,,278145129,
