as_number, country, lat, lon
20965, NL, 52.471442290422, -1.73178879874215
7303, AR, -33.5706871223592, -59.4331634756861
38195, AU, -33.6474337177033, 145.271035364815
201054, PL, 50.2, 19.29
8218, FR, 48.1456937657941, 5.12272028725265
136106, ID, -6.33172414200983, 107.653276935022
1764, AT, 48.4907136091684, 15.7241184404999
37662, MU, -10.1926326791187, 22.1026759485785
52873, BR, -12.9620389546086, -38.5037472397051
6128, US, 40.8382473932222, -73.8141246288919
29049, AZ, 40.42, 49.82
10075, BD, 23.8923326437802, 90.2160526813384
54004, US, 40.8263299831546, -74.0084975034468
31042, RS, 44.7708798737132, 20.3884146858715
21320, NL, 52.1838386050435, 0.140075898291154
3255, UA, 50.0712947324097, 24.826763660043
199524, LU, 60.4500998818435, 9.12339699430595
30844, GB, -12.7675384910899, 36.7038997630739
